price,rooms,bathrooms,sizem2,eixample,ciutat_vella,gracia,horta_guinardo,les_corts,nou_barris,sant_andreu,sant_marti,sants_montjuic
1094,3,2,73,0,0,0,1,0,0,0,0,0
1150,2,1,58,1,0,0,0,0,0,0,0,0
920,1,1,63,0,1,0,0,0,0,0,0,0
800,2,1,50,1,0,0,0,0,0,0,0,0
1500,3,2,150,0,1,0,0,0,0,0,0,0
1300,2,1,70,0,0,0,0,0,0,0,0,0
2000,2,2,80,1,0,0,0,0,0,0,0,0
1150,4,1,100,0,0,0,0,0,0,0,0,1
7450,6,4,416,0,0,1,0,0,0,0,0,0
2100,2,1,95,0,1,0,0,0,0,0,0,0
1600,3,2,100,0,1,0,0,0,0,0,0,0
4950,3,2,143,1,0,0,0,0,0,0,0,0
990,1,1,50,0,0,0,0,0,0,0,1,0
650,1,1,37,0,1,0,0,0,0,0,0,0
794,1,1,47,0,0,0,0,1,0,0,0,0
1600,3,2,71,0,0,1,0,0,0,0,0,0
14000,9,4,1100,0,0,0,0,1,0,0,0,0
1600,2,2,80,0,1,0,0,0,0,0,0,0
490,1,1,36,1,0,0,0,0,0,0,0,0
900,2,1,75,0,0,1,0,0,0,0,0,0
5000,5,4,275,0,0,0,0,0,0,0,0,0
950,1,1,41,1,0,0,0,0,0,0,0,0
950,3,1,80,0,0,0,1,0,0,0,0,0
1550,4,2,85,1,0,0,0,0,0,0,0,0
1650,4,1,120,0,1,0,0,0,0,0,0,0
900,3,1,71,0,0,0,0,1,0,0,0,0
950,1,1,50,0,0,0,0,0,0,0,0,0
2600,5,2,170,0,1,0,0,0,0,0,0,0
1250,3,1,100,1,0,0,0,0,0,0,0,0
900,1,1,62,0,1,0,0,0,0,0,0,0
1375,2,2,81,0,0,1,0,0,0,0,0,0
1300,3,1,90,0,1,0,0,0,0,0,0,0
1000,3,1,72,1,0,0,0,0,0,0,0,0
2300,4,3,180,1,0,0,0,0,0,0,0,0
2850,3,3,185,0,0,0,0,0,0,0,0,0
1000,3,1,72,0,1,0,0,0,0,0,0,0
3500,3,2,140,0,0,0,0,1,0,0,0,0
1050,2,2,75,0,1,0,0,0,0,0,0,0
850,1,1,38,0,0,1,0,0,0,0,0,0
850,1,1,49,0,1,0,0,0,0,0,0,0
1000,1,1,65,0,1,0,0,0,0,0,0,0
4750,5,4,250,1,0,0,0,0,0,0,0,0
1300,3,2,110,1,0,0,0,0,0,0,0,0
1495,5,1,112,1,0,0,0,0,0,0,0,0
899,2,1,69,1,0,0,0,0,0,0,0,0
900,2,1,53,0,1,0,0,0,0,0,0,0
935,1,1,57,0,0,0,0,0,0,0,0,0
1300,3,2,85,0,0,0,0,0,0,0,1,0
1890,3,1,180,0,0,0,0,1,0,0,0,0
1575,3,2,106,1,0,0,0,0,0,0,0,0
988,3,1,70,0,0,1,0,0,0,0,0,0
725,2,1,60,1,0,0,0,0,0,0,0,0
1300,4,2,90,1,0,0,0,0,0,0,0,0
840,1,1,40,0,1,0,0,0,0,0,0,0
1200,2,2,75,1,0,0,0,0,0,0,0,0
3000,2,2,170,1,0,0,0,0,0,0,0,0
1490,3,2,85,0,1,0,0,0,0,0,0,0
1050,4,2,80,0,1,0,0,0,0,0,0,0
1200,3,1,75,1,0,0,0,0,0,0,0,0
1170,2,3,82,0,1,0,0,0,0,0,0,0
1100,3,1,85,1,0,0,0,0,0,0,0,0
1700,2,2,84,0,1,0,0,0,0,0,0,0
950,2,1,80,0,1,0,0,0,0,0,0,0
1290,3,2,80,0,0,0,0,1,0,0,0,0
1050,2,1,70,0,0,0,0,0,0,0,0,1
1350,2,2,72,0,1,0,0,0,0,0,0,0
830,3,1,60,1,0,0,0,0,0,0,0,0
700,1,1,52,1,0,0,0,0,0,0,0,0
2200,3,2,80,1,0,0,0,0,0,0,0,0
1100,2,2,75,0,0,0,0,0,0,0,1,0
1500,2,1,70,0,0,0,0,0,0,0,0,0
1200,4,2,100,1,0,0,0,0,0,0,0,0
1500,3,2,110,0,1,0,0,0,0,0,0,0
2600,3,2,180,0,0,0,0,1,0,0,0,0
890,3,1,70,0,0,1,0,0,0,0,0,0
2950,3,3,160,0,0,0,0,0,0,0,0,0
2400,3,2,110,1,0,0,0,0,0,0,0,0
1000,1,1,35,1,0,0,0,0,0,0,0,0
3985,5,4,285,0,0,0,0,0,0,0,0,0
690,1,1,45,0,1,0,0,0,0,0,0,0
850,2,2,105,0,1,0,0,0,0,0,0,0
1580,1,1,53,0,0,0,0,0,1,0,0,0
1170,4,2,87,0,0,0,0,0,0,0,0,0
986,1,1,50,0,1,0,0,0,0,0,0,0
1800,2,2,121,0,1,0,0,0,0,0,0,0
1375,2,2,65,1,0,0,0,0,0,0,0,0
1500,4,1,140,1,0,0,0,0,0,0,0,0
2550,4,2,100,0,0,0,0,0,0,0,0,0
1000,2,1,73,0,0,0,0,0,0,0,1,0
6500,4,4,285,0,0,0,0,1,0,0,0,0
925,1,1,55,0,1,0,0,0,0,0,0,0
2000,3,2,120,1,0,0,0,0,0,0,0,0
940,4,1,75,0,1,0,0,0,0,0,0,0
1400,2,1,63,1,0,0,0,0,0,0,0,0
1200,4,1,80,0,1,0,0,0,0,0,0,0
2300,3,2,130,1,0,0,0,0,0,0,0,0
1300,1,1,56,0,0,0,0,0,0,0,1,0
2000,4,2,143,0,0,0,0,0,0,0,0,0
1025,3,1,80,1,0,0,0,0,0,0,0,0
1100,3,1,82,0,0,0,0,0,0,0,0,0
1300,1,1,53,0,0,0,0,1,0,0,0,0
1200,4,2,100,1,0,0,0,0,0,0,0,0
8500,4,4,313,0,0,0,0,0,0,0,0,0
950,3,1,70,0,0,0,1,0,0,0,0,0
1400,3,2,110,1,0,0,0,0,0,0,0,0
900,4,1,65,0,1,0,0,0,0,0,0,0
1250,2,2,74,0,0,1,0,0,0,0,0,0
900,4,1,65,0,1,0,0,0,0,0,0,0
550,1,1,50,0,1,0,0,0,0,0,0,0
930,1,1,65,0,0,0,0,0,0,0,0,0
1080,3,1,88,0,0,0,0,0,0,0,0,1
1150,3,1,80,1,0,0,0,0,0,0,0,0
700,2,1,53,0,0,0,0,0,0,0,0,1
1100,3,1,60,0,0,0,0,1,0,0,0,0
2147,5,3,160,1,0,0,0,0,0,0,0,0
1700,1,1,65,1,0,0,0,0,0,0,0,0
1975,4,2,130,0,0,0,0,1,0,0,0,0
760,2,1,50,0,0,0,0,0,0,0,0,1
900,3,1,85,1,0,0,0,0,0,0,0,0
1400,2,2,70,0,0,1,0,0,0,0,0,0
925,4,1,92,0,0,0,0,0,0,0,0,1
850,2,1,45,0,1,0,0,0,0,0,0,0
1140,4,1,81,0,0,0,0,1,0,0,0,0
800,1,1,58,0,0,0,0,0,0,0,0,0
4900,4,4,188,0,0,0,0,0,0,0,0,0
900,2,1,58,1,0,0,0,0,0,0,0,0
660,1,1,45,0,0,0,0,1,0,0,0,0
3029,3,2,119,0,0,0,0,0,0,0,0,0
1400,2,1,65,1,0,0,0,0,0,0,0,0
1250,2,1,228,0,0,0,1,0,0,0,0,0
900,3,1,80,1,0,0,0,0,0,0,0,0
1000,3,1,74,1,0,0,0,0,0,0,0,0
4800,5,4,300,0,0,0,0,0,0,0,0,0
975,2,1,95,0,0,0,0,0,0,0,0,0
640,1,1,50,0,1,0,0,0,0,0,0,0
1400,2,3,140,0,0,1,0,0,0,0,0,0
3600,5,3,260,0,0,0,0,0,0,0,0,0
2500,4,2,133,1,0,0,0,0,0,0,0,0
850,2,1,40,0,0,0,0,0,0,0,0,0
1600,4,2,130,0,0,0,0,0,0,0,0,0
1100,1,1,55,1,0,0,0,0,0,0,0,0
2000,2,2,75,1,0,0,0,0,0,0,0,0
1550,3,2,130,0,0,0,0,0,0,0,1,0
899,2,1,51,0,0,0,0,0,0,0,0,0
5021,4,3,164,1,0,0,0,0,0,0,0,0
4900,6,4,276,0,0,0,0,0,0,0,0,0
990,2,1,75,0,1,0,0,0,0,0,0,0
3000,3,2,150,1,0,0,0,0,0,0,0,0
1000,2,1,67,0,0,0,0,0,0,0,1,0
1700,2,1,85,0,0,0,0,0,0,0,0,0
1350,2,1,118,0,1,0,0,0,0,0,0,0
860,2,1,60,1,0,0,0,0,0,0,0,0
7500,2,2,220,0,0,0,0,0,0,0,0,0
1500,2,2,115,1,0,0,0,0,0,0,0,0
2735,4,2,176,0,0,0,0,0,0,0,0,0
1308,4,2,105,0,0,0,0,0,0,0,1,0
1950,4,2,130,0,0,0,0,0,0,0,0,0
1400,2,2,75,1,0,0,0,0,0,0,0,0
800,2,1,60,0,0,0,0,0,0,0,0,1
830,1,1,40,0,1,0,0,0,0,0,0,0
900,2,1,105,0,1,0,0,0,0,0,0,0
1000,2,1,74,0,0,0,0,0,0,0,1,0
1950,2,2,121,0,1,0,0,0,0,0,0,0
900,3,1,74,0,0,1,0,0,0,0,0,0
900,1,1,45,0,0,0,0,0,0,0,0,0
850,1,1,40,0,1,0,0,0,0,0,0,0
3175,5,2,232,0,0,0,0,1,0,0,0,0
1500,3,2,75,0,0,0,0,0,0,0,1,0
1490,3,1,120,1,0,0,0,0,0,0,0,0
1325,2,2,98,0,0,0,0,0,0,0,0,1
1400,4,2,145,0,0,0,0,0,0,0,0,0
1200,3,1,70,0,0,0,0,0,0,0,1,0
800,1,2,80,0,1,0,0,0,0,0,0,0
3200,5,4,200,0,0,0,0,1,0,0,0,0
900,2,1,70,1,0,0,0,0,0,0,0,0
1550,4,2,95,1,0,0,0,0,0,0,0,0
1200,4,2,98,0,0,0,0,0,0,1,0,0
1300,2,1,61,0,0,1,0,0,0,0,0,0
4500,4,3,256,0,0,0,0,0,0,0,0,0
1000,3,1,100,0,0,0,0,0,0,0,1,0
1325,2,2,69,0,1,0,0,0,0,0,0,0
770,3,1,67,0,0,0,0,0,0,1,0,0
550,1,1,40,0,1,0,0,0,0,0,0,0
1650,2,2,98,0,0,0,0,0,0,0,0,0
2800,4,3,265,0,0,0,0,0,0,0,0,0
850,3,1,74,0,0,0,0,0,0,0,0,1
1350,1,1,49,0,1,0,0,0,0,0,0,0
995,2,1,64,0,0,0,0,0,0,0,0,0
2600,4,3,191,0,0,0,0,1,0,0,0,0
7700,7,4,640,0,0,0,0,0,0,0,0,0
1350,2,1,40,0,0,0,0,0,0,0,0,0
880,3,2,74,0,0,0,0,0,0,1,0,0
2500,5,2,120,1,0,0,0,0,0,0,0,0
1700,3,2,110,1,0,0,0,0,0,0,0,0
817,3,1,77,0,0,0,0,0,0,0,0,1
1200,2,1,67,0,0,1,0,0,0,0,0,0
1000,3,1,55,0,0,0,0,1,0,0,0,0
790,1,1,40,0,1,0,0,0,0,0,0,0
1450,3,2,90,0,0,0,0,0,0,0,1,0
1000,2,1,65,0,1,0,0,0,0,0,0,0
2350,4,3,110,0,0,0,0,0,0,0,0,0
1300,2,1,65,0,0,0,0,0,0,0,1,0
1800,2,2,100,0,1,0,0,0,0,0,0,0
600,1,1,40,0,0,0,0,0,1,0,0,0
1600,3,3,145,0,0,0,0,0,0,0,0,0
1720,3,2,113,0,1,0,0,0,0,0,0,0
785,3,1,75,0,0,0,0,0,0,1,0,0
1000,1,1,50,0,0,0,0,1,0,0,0,0
675,1,1,35,0,0,0,0,0,1,0,0,0
3000,2,2,170,1,0,0,0,0,0,0,0,0
1500,2,2,70,0,1,0,0,0,0,0,0,0
1050,2,1,62,0,0,0,0,0,0,0,0,1
1250,3,1,60,0,1,0,0,0,0,0,0,0
1800,3,2,150,0,0,0,0,1,0,0,0,0
1200,4,2,97,0,1,0,0,0,0,0,0,0
1650,3,1,126,0,0,0,0,0,0,0,0,0
1450,3,2,70,0,1,0,0,0,0,0,0,0
1800,4,2,107,0,0,1,0,0,0,0,0,0
770,2,1,46,0,0,0,0,0,0,1,0,0
1200,4,2,90,0,0,1,0,0,0,0,0,0
2900,2,2,308,0,0,0,0,0,0,0,1,0
3250,4,3,237,1,0,0,0,0,0,0,0,0
2000,4,2,111,0,0,0,0,1,0,0,0,0
1000,1,1,55,0,0,0,0,0,0,0,1,0
3850,5,3,235,0,0,0,0,0,0,0,0,0
8500,4,4,240,0,0,0,0,1,0,0,0,0
1400,3,2,102,0,0,0,0,0,0,0,0,0
1780,3,2,129,0,0,0,0,0,0,0,0,0
3600,5,3,259,0,0,0,0,0,0,0,0,0
830,3,1,77,0,0,0,0,0,0,1,0,0
1150,4,1,80,0,0,1,0,0,0,0,0,0
1150,3,1,108,1,0,0,0,0,0,0,0,0
675,2,1,54,0,0,0,0,0,0,1,0,0
1300,2,1,81,0,0,0,0,0,0,0,0,0
1300,1,1,65,0,0,0,0,0,0,0,0,0
875,2,1,38,0,1,0,0,0,0,0,0,0
1200,3,1,70,0,1,0,0,0,0,0,0,0
1200,3,1,71,0,0,0,0,0,0,0,1,0
2650,3,2,121,0,0,0,0,0,0,0,1,0
2400,4,2,195,0,0,0,0,0,0,0,0,0
730,1,1,35,0,1,0,0,0,0,0,0,0
890,2,1,60,0,0,0,0,0,0,0,0,1
580,1,1,25,0,0,0,0,0,0,0,0,0
900,1,1,50,0,1,0,0,0,0,0,0,0
5000,5,3,300,0,0,0,0,0,0,0,0,0
2950,2,2,101,1,0,0,0,0,0,0,0,0
950,1,1,50,0,0,0,0,0,0,0,0,0
2100,3,2,200,1,0,0,0,0,0,0,0,0
2190,3,3,125,0,0,0,0,0,0,0,0,0
525,1,1,43,0,0,0,0,0,1,0,0,0
1150,2,1,60,0,0,0,0,0,0,0,1,0
900,3,1,66,0,0,0,0,0,0,0,1,0
1550,3,2,120,0,1,0,0,0,0,0,0,0
1000,2,1,55,0,0,0,0,0,0,0,0,0
1200,3,2,83,1,0,0,0,0,0,0,0,0
1300,2,1,47,0,1,0,0,0,0,0,0,0
660,1,1,50,0,1,0,0,0,0,0,0,0
1250,3,2,95,0,0,1,0,0,0,0,0,0
980,3,2,78,1,0,0,0,0,0,0,0,0
1500,4,2,100,0,0,0,0,0,0,0,0,1
1450,3,2,120,0,0,0,0,0,0,0,0,0
1350,2,1,65,0,0,0,0,0,0,0,1,0
1980,3,2,136,0,1,0,0,0,0,0,0,0
1700,1,2,70,1,0,0,0,0,0,0,0,0
1350,3,2,92,0,0,0,0,1,0,0,0,0
1300,4,1,85,0,0,1,0,0,0,0,0,0
1250,3,2,78,1,0,0,0,0,0,0,0,0
1000,2,1,60,0,1,0,0,0,0,0,0,0
3800,7,3,305,1,0,0,0,0,0,0,0,0
890,2,1,60,1,0,0,0,0,0,0,0,0
990,4,2,81,0,0,0,0,0,0,0,0,1
1100,3,2,90,0,0,0,0,0,0,1,0,0
1300,4,2,90,1,0,0,0,0,0,0,0,0
1150,4,1,79,0,0,0,0,1,0,0,0,0
740,2,1,50,0,0,0,0,0,0,0,0,1
2480,4,3,165,0,1,0,0,0,0,0,0,0
900,1,1,40,1,0,0,0,0,0,0,0,0
1150,2,2,88,1,0,0,0,0,0,0,0,0
900,4,1,65,0,1,0,0,0,0,0,0,0
1400,1,1,45,1,0,0,0,0,0,0,0,0
1150,3,1,91,1,0,0,0,0,0,0,0,0
1450,3,2,100,1,0,0,0,0,0,0,0,0
800,1,1,50,1,0,0,0,0,0,0,0,0
650,1,1,35,0,1,0,0,0,0,0,0,0
990,3,1,63,0,0,0,0,1,0,0,0,0
1150,2,2,54,0,0,0,0,0,0,0,0,1
1430,3,2,123,1,0,0,0,0,0,0,0,0
750,1,1,40,0,0,0,0,0,0,0,0,1
1450,4,2,110,0,0,0,0,1,0,0,0,0
945,4,2,77,0,0,0,0,0,0,0,1,0
3029,3,2,128,0,0,0,0,0,0,0,0,0
750,1,1,65,0,1,0,0,0,0,0,0,0
1200,2,1,70,0,0,0,0,0,0,0,1,0
1300,2,2,73,0,0,0,0,0,0,0,0,0
1330,2,1,65,0,1,0,0,0,0,0,0,0
1700,2,2,105,1,0,0,0,0,0,0,0,0
1050,2,2,85,0,0,1,0,0,0,0,0,0
1030,1,2,70,0,0,0,0,0,0,0,0,1
2200,3,2,125,0,0,0,0,0,0,0,0,0
1600,2,2,72,0,1,0,0,0,0,0,0,0
1050,3,1,75,1,0,0,0,0,0,0,0,0
1100,2,2,68,0,0,0,0,0,0,0,0,1
900,2,1,56,0,0,0,0,0,0,0,0,1
990,3,1,70,1,0,0,0,0,0,0,0,0
750,3,1,60,0,0,0,0,0,0,0,0,1
800,1,1,38,0,1,0,0,0,0,0,0,0
3400,5,3,200,0,0,0,0,1,0,0,0,0
750,1,1,31,0,1,0,0,0,0,0,0,0
1195,3,2,90,0,1,0,0,0,0,0,0,0
1650,3,3,100,1,0,0,0,0,0,0,0,0
950,2,1,60,0,0,1,0,0,0,0,0,0
1750,2,1,80,0,0,0,0,0,0,0,0,0
1300,3,2,100,0,0,0,0,0,0,0,1,0
1750,3,2,150,0,0,0,0,0,0,0,0,0
1600,2,2,70,1,0,0,0,0,0,0,0,0
1800,3,2,120,0,1,0,0,0,0,0,0,0
950,2,1,52,0,0,0,0,0,0,0,0,1
740,2,1,45,0,0,0,0,0,0,0,0,1
650,1,1,38,0,0,0,1,0,0,0,0,0
2500,5,3,177,0,0,0,0,0,0,0,0,0
950,1,1,50,0,0,0,0,0,0,0,0,0
1400,1,1,60,1,0,0,0,0,0,0,0,0
1190,2,2,102,0,1,0,0,0,0,0,0,0
940,2,1,70,0,1,0,0,0,0,0,0,0
1150,3,1,71,0,0,0,0,0,0,0,0,1
1200,4,2,95,0,0,0,0,0,0,1,0,0
1200,2,1,55,1,0,0,0,0,0,0,0,0
1150,2,1,70,1,0,0,0,0,0,0,0,0
825,1,1,54,0,1,0,0,0,0,0,0,0
900,3,1,59,0,1,0,0,0,0,0,0,0
1000,3,2,70,0,0,0,0,1,0,0,0,0
1200,3,1,73,1,0,0,0,0,0,0,0,0
3000,1,1,60,0,1,0,0,0,0,0,0,0
2200,2,2,160,0,1,0,0,0,0,0,0,0
1400,3,2,86,0,0,0,0,1,0,0,0,0
850,2,1,55,0,0,0,0,0,0,0,0,1
2600,4,4,255,0,0,0,0,0,0,0,0,0
700,1,1,25,0,1,0,0,0,0,0,0,0
3500,2,2,190,1,0,0,0,0,0,0,0,0
1000,3,1,100,0,0,0,0,0,0,0,1,0
1200,2,1,65,0,0,0,0,1,0,0,0,0
1400,4,3,94,0,0,0,0,0,0,0,0,1
675,1,1,57,0,0,0,0,0,0,0,1,0
1490,3,1,155,1,0,0,0,0,0,0,0,0
1500,4,2,130,1,0,0,0,0,0,0,0,0
1650,3,2,132,1,0,0,0,0,0,0,0,0
900,1,1,35,0,1,0,0,0,0,0,0,0
1100,2,1,60,0,0,0,0,0,0,0,0,1
1190,4,2,95,1,0,0,0,0,0,0,0,0
1050,2,1,60,0,1,0,0,0,0,0,0,0
1000,1,1,53,0,0,0,0,1,0,0,0,0
1700,1,2,110,0,1,0,0,0,0,0,0,0
950,2,1,68,0,0,0,1,0,0,0,0,0
750,2,1,60,0,1,0,0,0,0,0,0,0
950,1,1,60,0,1,0,0,0,0,0,0,0
1300,3,2,80,0,0,0,0,0,0,0,0,1
